why	2
wie	-3
wieder	-3
will	3
with	3
work	3
would	3
y	-1
yar	-2
ye	-2
yes	3
yo	-2
you	3
your	3
ze	-3
zur	-3
